,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-07-16 00:00:00-04:00,386.25,389.62,383.62,385.72,24614253,2971.06,3032.0,2918.23,2994.55,5979324,282560.0,287770.0,282560.0,286106.44,253,205.4,205.7,202.31,203.88,26229978
2020-07-17 00:00:00-04:00,387.95,388.59,383.36,385.15,20185278,3009.0,3024.0,2948.45,2961.47,4387781,287540.0,288170.0,285972.25,286253.0,261,204.47,205.04,201.39,202.87,27682275
2020-07-20 00:00:00-04:00,385.665,394.0,384.25,393.43,19422805,3000.2,3201.3599,2994.017,3195.01,7081997,285400.0,286900.0,284450.0,285980.0,224,205.0,212.3,203.01,211.49,30212430
2020-07-21 00:00:00-04:00,396.69,397.0,386.97,388.0,23389568,3232.49,3240.5757,3105.72,3141.43,5766866,286720.94,290170.0,286600.0,288201.0,475,213.66,213.94,208.03,208.75,32788138
2020-07-22 00:00:00-04:00,386.77,391.9,386.41,389.09,18899399,3125.0,3150.0,3065.26,3100.23,3731096,287000.0,288319.0,286210.6,288130.0,237,209.2,212.3,208.39,211.7533,38475627
2020-07-23 00:00:00-04:00,387.9935,388.31,369.64,371.56,25747322,3098.2712,3098.2712,2977.9639,2987.725,3491415,287961.0,290084.25,287435.84,289813.0,149,207.19,210.92,202.19,202.6,44102464
2020-07-24 00:00:00-04:00,363.95,371.88,356.58,370.42,43883515,2930.0,3031.58,2888.0,3008.92,5356527,290684.0,294254.0,290521.0,291869.62,346,200.42,202.86,197.51,201.3,36899369
2020-07-27 00:00:00-04:00,374.84,379.62,373.92,379.215,26920001,3062.0,3098.0,3015.77,3053.89,3843776,290590.0,290692.0,287850.0,288212.0,342,201.47,203.97,200.86,203.85,25380708
2020-07-28 00:00:00-04:00,377.47,378.1986,372.99,373.04,23023333,3054.27,3077.0925,2995.76,2999.62,2874548,286000.0,291719.84,286000.0,291031.0,480,203.61,204.7,201.74,201.74,20736836
2020-07-29 00:00:00-04:00,375.0,380.92,374.85,380.27,20387893,3030.99,3039.1592,2996.77,3034.27,2761363,290940.0,294870.0,290940.0,294500.0,480,202.5,204.65,202.01,204.06,17736721
2020-07-30 00:00:00-04:00,376.75,385.19,375.07,384.88,29577510,3014.0,3092.0,3005.0,3052.65,4619962,290335.06,291927.0,288610.5,291362.0,486,201.0,204.46,199.57,203.89,22636526
2020-07-31 00:00:00-04:00,411.535,425.66,403.3,425.19,86940020,3244.0,3246.82,3151.0,3164.68,7390222,291750.0,293798.0,290150.0,293656.0,504,204.4,205.1,199.01,205.1,41856673
2020-08-03 00:00:00-04:00,432.8,446.5457,431.57,435.66,59319804,3180.51,3184.0,3104.0,3111.42,3755142,295000.0,300000.0,294510.0,298775.88,746,211.52,217.64,210.44,216.54,58751854
2020-08-04 00:00:00-04:00,436.53,443.16,433.55,438.81,40871187,3101.21,3167.24,3101.21,3138.82,4498038,298000.0,300330.0,297470.0,300330.0,573,214.17,214.77,210.31,213.35,44497157
2020-08-05 00:00:00-04:00,437.51,441.57,435.59,440.339,27322942,3143.77,3213.586,3127.3,3205.83,3729635,301871.0,306970.0,301200.0,305620.0,1072,214.9,215.0,211.57,212.95,25586251
2020-08-06 00:00:00-04:00,441.62,457.65,439.19,455.88,47755979,3194.36,3247.47,3165.43,3224.35,3776929,305000.0,308000.0,304820.06,307622.0,842,212.34,216.3705,211.55,216.35,28392245
2020-08-07 00:00:00-04:00,452.82,454.7,441.17,444.41,45586418,3224.01,3240.81,3140.6726,3165.75,3698110,305681.0,314365.0,305681.0,314000.0,928,214.85,215.7,210.93,212.44,24613984
2020-08-10 00:00:00-04:00,449.75,452.98,440.0,450.94,40068874,3134.66,3155.33,3101.52,3149.87,2275412,316623.0,319250.0,314240.0,319135.78,736,208.91,210.73,206.35,208.33,24836201
2020-08-11 00:00:00-04:00,447.875,449.93,436.4267,437.51,42368444,3113.2,3159.22,3073.0,3080.67,3384016,322500.0,323499.97,318500.0,318976.0,1032,207.155,207.65,203.14,203.33,31829739
