time,BA,DAL,MGM,WYNN
2021-01-06 00:00:00-05:00,210.995,40.37,31.19,110.89
2021-01-07 00:00:00-05:00,212.71,40.23,30.6,109.77
2021-01-08 00:00:00-05:00,209.9,40.03,31.36,109.02
2021-01-11 00:00:00-05:00,206.79,39.41,30.78,108.07
2021-01-12 00:00:00-05:00,208.41,40.3,30.27,110.0
2021-01-13 00:00:00-05:00,207.2153,40.43,30.03,107.91
2021-01-14 00:00:00-05:00,209.91,41.46,30.28,109.0
2021-01-15 00:00:00-05:00,204.27,39.96,29.81,106.24
2021-01-19 00:00:00-05:00,210.7,40.31,30.54,107.14
2021-01-20 00:00:00-05:00,211.4,41.62,31.05,110.01
2021-01-21 00:00:00-05:00,207.46,40.685,31.53,109.13
2021-01-22 00:00:00-05:00,205.83,39.97,31.37,107.45
2021-01-25 00:00:00-05:00,203.32,38.9,29.97,108.0661
2021-01-26 00:00:00-05:00,202.0,39.31,29.59,105.95
2021-01-27 00:00:00-05:00,194.03,38.54,28.37,100.8
2021-01-28 00:00:00-05:00,197.12,40.07,29.55,102.05
2021-01-29 00:00:00-05:00,194.11,37.94,28.55,99.64
2021-02-01 00:00:00-05:00,195.67,37.81,29.28,101.75
2021-02-02 00:00:00-05:00,200.92,38.81,30.65,106.1
2021-02-03 00:00:00-05:00,207.29,39.76,30.89,108.43
2021-02-04 00:00:00-05:00,210.67,40.94,32.48,108.69
2021-02-05 00:00:00-05:00,207.86,41.1489,34.24,117.02
2021-02-08 00:00:00-05:00,211.9499,43.23,35.6,117.55
2021-02-09 00:00:00-05:00,215.17,42.51,35.83,113.26
2021-02-10 00:00:00-05:00,212.0,42.91,36.53,116.44
2021-02-11 00:00:00-05:00,210.53,42.72,35.3,114.55
2021-02-12 00:00:00-05:00,210.98,43.29,35.94,117.85
2021-02-16 00:00:00-05:00,217.18,44.65,35.0,121.405
2021-02-17 00:00:00-05:00,215.61,44.38,34.94,122.1
2021-02-18 00:00:00-05:00,208.58,44.39,35.05,119.95
2021-02-19 00:00:00-05:00,217.47,45.68,36.42,123.69
2021-02-22 00:00:00-05:00,212.89,47.75,37.53,126.74
2021-02-23 00:00:00-05:00,212.13,48.34,39.59,136.48
2021-02-24 00:00:00-05:00,229.33,49.58,38.62,134.21
2021-02-25 00:00:00-05:00,216.4,48.25,36.71,128.62
2021-02-26 00:00:00-05:00,212.01,47.945,37.8,131.73
2021-03-01 00:00:00-05:00,224.3094,48.06,38.29,131.78
2021-03-02 00:00:00-05:00,223.09,48.23,38.53,132.88
2021-03-03 00:00:00-05:00,228.55,48.35,38.84,135.59
2021-03-04 00:00:00-05:00,224.7,46.97,37.29,132.98
2021-03-05 00:00:00-05:00,223.22,46.21,37.13,133.325
2021-03-08 00:00:00-05:00,223.91,47.88,37.85,133.68
2021-03-09 00:00:00-05:00,230.62,47.61,37.48,134.0
2021-03-10 00:00:00-05:00,245.3237,47.8,37.64,134.84
2021-03-11 00:00:00-05:00,251.99,48.32,39.18,137.84
2021-03-12 00:00:00-05:00,269.12,49.84,38.97,137.02
2021-03-15 00:00:00-04:00,265.59,50.98,40.95,139.8
2021-03-16 00:00:00-04:00,255.2001,49.39,39.9,137.48
2021-03-17 00:00:00-04:00,263.52,50.45,41.22,139.9
2021-03-18 00:00:00-04:00,256.16,49.18,39.51,135.65
2021-03-19 00:00:00-04:00,255.82,48.9999,40.03,135.48
2021-03-22 00:00:00-04:00,251.18,47.95,39.02,132.8
2021-03-23 00:00:00-04:00,241.25,45.64,37.33,125.18
2021-03-24 00:00:00-04:00,239.11,45.61,36.89,125.16
2021-03-25 00:00:00-04:00,247.37,47.01,37.96,128.12
2021-03-26 00:00:00-04:00,244.88,47.66,37.66,127.29
2021-03-29 00:00:00-04:00,250.67,47.32,37.165,123.5
2021-03-30 00:00:00-04:00,251.81,48.865,38.18,125.5
2021-03-31 00:00:00-04:00,254.6,48.3,37.99,125.39
2021-04-01 00:00:00-04:00,252.97,48.82,39.7,128.1
2021-04-05 00:00:00-04:00,259.4508,50.25,41.7,131.03
2021-04-06 00:00:00-04:00,255.13,51.65,41.52,136.44
2021-04-07 00:00:00-04:00,252.51,50.2,41.1,132.67
2021-04-08 00:00:00-04:00,254.87,49.81,42.15,133.47
2021-04-09 00:00:00-04:00,252.315,49.27,41.76,131.39
2021-04-12 00:00:00-04:00,249.57,48.82,41.17,129.93
2021-04-13 00:00:00-04:00,253.13,48.27,40.98,129.88
